id,code,display,defination
32,"HLAB","hospital laboratory","Description: A location that plays the role of delivering services which may include tests done based on clinical specimens to get health information about a patient as pertaining to the diagnosis, treatment and prevention of disease. Hospital laboratories may be further divided into specialized units such as Anatomic Pathology, Microbiology, and Biochemistry."
33,"INLAB","inpatient laboratory","Description: A location that plays the role of delivering services which may include tests are done on clinical specimens to get health information about a patient pertaining to the diagnosis, treatment, and prevention of disease for a hospital visit longer than one day."
34,"OUTLAB","outpatient laboratory","Description: A location that plays the role of delivering services which may include tests are done on clinical specimens to get health information about a patient pertaining to the diagnosis, treatment, and prevention of disease for same day visits."
35,"HRAD","radiology unit","Description: A location that plays the role of delivering services which may include the branch of medicine that uses ionizing and non-ionizing radiation to diagnose and treat diseases. The radiology unit may be further divided into subspecialties such as Imaging, Cardiovascular, Thoracic, and Ultrasound."
36,"HUSCS","specimen collection site","Description: A location that plays the role of delivering services which may include collecting specimens and/or samples from patients for laboratory testing purposes, but does not perform any tests or analysis functions."
37,"ICU","Intensive care unit","Intensive care unit"
38,"PEDICU","Pediatric intensive care unit","Pediatric intensive care unit"
39,"PEDNICU","Pediatric neonatal intensive care unit","Pediatric neonatal intensive care unit"
40,"INPHARM","inpatient pharmacy","Description: A location that plays the role of delivering services which may include providing judicious, safe, efficacious, appropriate and cost effective use of medicines for treatment of patients for visits longer than one day. The distinction between inpatient pharmacies and retail (or outpatient) pharmacies is that they are part of a patient's continuity of care while staying in the hospital."
41,"MBL","medical laboratory","Description: A location that plays the role of delivering services which include biochemistry, hematology, microbiology, immunochemistry, and toxicology."
42,"NCCS","Neurology critical care and stroke unit","Neurology critical care and stroke unit"
43,"NS","Neurosurgery unit","Neurosurgery unit"
44,"OUTPHARM","outpatient pharmacy","Description: A location that plays the role of delivering services which may include providing judicious, safe, efficacious, appropriate and cost effective use of medicines for treatment of patients for outpatient visits and may also be used for discharge prescriptions."
45,"PEDU","Pediatric unit","Pediatric unit"
46,"PHU","Psychiatric hospital unit","(X12N 273R00000N)"
47,"RHU","Rehabilitation hospital unit","Rehabilitation hospital unit"
48,"SLEEP","Sleep disorders unit","(X12N 261QA1200N)"
49,"NCCF","Nursing or custodial care facility","Nursing or custodial care facility"
50,"SNF","Skilled nursing facility","(X12N 314000000N)"
51,"OF","Outpatient facility","Outpatient facility"
52,"ALL","Allergy clinic","Allergy clinic"
53,"AMPUT","Amputee clinic","Amputee clinic"
54,"BMTC","Bone marrow transplant clinic","Bone marrow transplant clinic"
55,"BREAST","Breast clinic","Breast clinic"
56,"CANC","Child and adolescent neurology clinic","Child and adolescent neurology clinic"
57,"CAPC","Child and adolescent psychiatry clinic","Child and adolescent psychiatry clinic"
58,"CARD","Ambulatory Health Care Facilities; Clinic/Center; Rehabilitation: Cardiac Facilities","Ambulatory Health Care Facilities; Clinic/Center; Rehabilitation: Cardiac Facilities"
59,"PEDCARD","Pediatric cardiology clinic","Pediatric cardiology clinic"
60,"COAG","Coagulation clinic","Coagulation clinic"
61,"CRS","Colon and rectal surgery clinic","Colon and rectal surgery clinic"
62,"DERM","Dermatology clinic","Dermatology clinic"
63,"ENDO","Endocrinology clinic","Endocrinology clinic"
64,"PEDE","Pediatric endocrinology clinic","Pediatric endocrinology clinic"
65,"ENT","Otorhinolaryngology clinic","Otorhinolaryngology clinic"
66,"FMC","Family medicine clinic","Family medicine clinic"
67,"GI","Gastroenterology clinic","Gastroenterology clinic"
68,"PEDGI","Pediatric gastroenterology clinic","Pediatric gastroenterology clinic"
69,"GIM","General internal medicine clinic","General internal medicine clinic"
70,"GYN","Gynecology clinic","Gynecology clinic"
71,"HEM","Hematology clinic","Hematology clinic"
72,"PEDHEM","Pediatric hematology clinic","Pediatric hematology clinic"
73,"HTN","Hypertension clinic","Hypertension clinic"
74,"IEC","Impairment evaluation center","Focuses on assessing disability"
75,"INFD","Infectious disease clinic","Infectious disease clinic"
76,"PEDID","Pediatric infectious disease clinic","Pediatric infectious disease clinic"
77,"INV","Infertility clinic","Infertility clinic"
78,"LYMPH","Lympedema clinic","Lympedema clinic"
79,"MGEN","Medical genetics clinic","Medical genetics clinic"
80,"NEPH","Nephrology clinic","Nephrology clinic"
81,"PEDNEPH","Pediatric nephrology clinic","Pediatric nephrology clinic"
82,"NEUR","Neurology clinic","Neurology clinic"
83,"OB","Obstetrics clinic","Obstetrics clinic"
84,"OMS","Oral and maxillofacial surgery clinic","Oral and maxillofacial surgery clinic"
85,"ONCL","Medical oncology clinic","Medical oncology clinic"
86,"PEDHO","Pediatric oncology clinic","Pediatric oncology clinic"
87,"OPH","Opthalmology clinic","Opthalmology clinic"
88,"OPTC","optometry clinic","Description: A location that plays the role of delivering services which may include examination, diagnosis, treatment, management, and prevention of diseases and disorders of the eye as well as prescribing and fitting appropriate corrective lenses (glasses or contact lenses) as needed. Optometry clinics may also provide tests for visual field screening, measuring intra-ocular pressure and ophthalmoscopy, as and when required."
89,"ORTHO","Orthopedics clinic","Orthopedics clinic"
90,"HAND","Hand clinic","Hand clinic"
91,"PAINCL","Pain clinic","(X12N 261QP3300N)"
92,"PC","Primary care clinic","(X12N 261QP2300N)"
93,"PEDC","Pediatrics clinic","Pediatrics clinic"
94,"PEDRHEUM","Pediatric rheumatology clinic","Pediatric rheumatology clinic"
95,"POD","Podiatry clinic","(X12N 261QP1100N)"
96,"PREV","Preventive medicine clinic","Preventive medicine clinic"
97,"PROCTO","Proctology clinic","Proctology clinic"
98,"PROFF","Provider's Office","Location where healthcare service was delivered, identified as the healthcare provider's practice office."
99,"PROS","Prosthodontics clinic","Prosthodontics clinic"
100,"PSI","Psychology clinic","Psychology clinic"
101,"PSY","Psychiatry clinic","Psychiatry clinic"
102,"RHEUM","Rheumatology clinic","Rheumatology clinic"
103,"SPMED","Sports medicine clinic","Sports medicine clinic"
104,"SU","Surgery clinic","Surgery clinic"
105,"PLS","Plastic surgery clinic","Plastic surgery clinic"
106,"URO","Urology clinic","Urology clinic"
107,"TR","Transplant clinic","Transplant clinic"
108,"TRAVEL","Travel and geographic medicine clinic","Travel and geographic medicine clinic"
109,"WND","Wound clinic","Wound clinic"
110,"RTF","Residential treatment facility","Residential treatment facility"
111,"PRC","Pain rehabilitation center","Pain rehabilitation center"
112,"SURF","Substance use rehabilitation facility","(X12N 324500000N)"
113,"DADDR","Delivery Address","Location address where medical supplies were transported to for use."
114,"MOBL","Mobile Unit","Location (mobile) where healthcare service was delivered."
115,"AMB","Ambulance","Location (mobile) where healthcare service was delivered, identified specifically as an ambulance."
116,"PHARM","Pharmacy","Location where healthcare service was delivered, identified as a pharmacy."
117,"ACC","accident site","Location of an accident where healthcare service was delivered, such as a roadside."
118,"COMM","Community Location","Community location where healthcare is delivered."
119,"CSC","community service center","Description: A location that plays the role of delivering services which may include providing front-line services to the population of a defined geographic area such as: healthcare services and social services, preventive or curative, rehabilitation or reintegration."
120,"PTRES","Patient's Residence","location where healthcare was delivered which is the residence of the Patient."
121,"SCHOOL","school","Location where healthcare service was delivered, identified as a school or educational facility."
122,"UPC","underage protection center","Description: A location that plays the role of delivering services which may include: social emergency services required for a young person as required under any jurisdictional youth laws, child placement, and family mediation in the defined geographical area the SDL is responsible for. It may provide expertise in a judiciary setting on child custody, adoption and biological history research."
123,"WORK","work site","Location where healthcare service was delivered, identified as a work place."
